Etat de mer (9s ; 3m); Stratégie: amortissement avec écrêtage. 
Production sur 1000 s, Echantillonnage : 100 ms 
 
t (s) 	 Eta (m) 	 Theta (rad) 	 Omega (rad/s) 	 C (N.m) 
000.0  	 -0.85403  	 00.00000  	 00.00000  	 -0000000 
000.1  	 -0.81576  	 -0.00101  	 -0.01014  	 -0040577 
000.2  	 -0.76454  	 -0.00277  	 -0.01752  	 -0070062 
000.3  	 -0.70277  	 -0.00497  	 -0.02202  	 -0088063 
000.4  	 -0.63297  	 -0.00734  	 -0.02368  	 -0094709 
000.5  	 -0.55761  	 -0.00960  	 -0.02265  	 -0090605 
000.6  	 -0.47901  	 -0.01152  	 -0.01919  	 -0076773 
000.7  	 -0.39924  	 -0.01288  	 -0.01365  	 -0054591 
000.8  	 -0.32002  	 -0.01353  	 -0.00643  	 -0025725 
000.9  	 -0.24270  	 -0.01333  	 00.00199  	 00007955 
001.0  	 -0.16824  	 -0.01222  	 00.01111  	 00044447 
001.1  	 -0.09724  	 -0.01017  	 00.02043  	 00081708 
001.2  	 -0.02994  	 -0.00723  	 00.02943  	 00117720 
001.3  	 00.03367  	 -0.00347  	 00.03764  	 00150572 
001.4  	 00.09380  	 00.00100  	 00.04463  	 00178519 
001.5  	 00.15078  	 00.00600  	 00.05001  	 00200042 
001.6  	 00.20494  	 00.01134  	 00.05347  	 00213894 
001.7  	 00.25656  	 00.01682  	 00.05478  	 00219139 
001.8  	 00.30580  	 00.02220  	 00.05379  	 00215176 
001.9  	 00.35266  	 00.02725  	 00.05044  	 00201755 
002.0  	 00.39695  	 00.03172  	 00.04474  	 00178974 
002.1  	 00.43828  	 00.03540  	 00.03682  	 00147269 
002.2  	 00.47608  	 00.03809  	 00.02685  	 00107387 
002.3  	 00.50965  	 00.03960  	 00.01509  	 00060355 
002.4  	 00.53820  	 00.03978  	 00.00186  	 00007432 
002.5  	 00.56089  	 00.03853  	 -0.01248  	 -0049940 
002.6  	 00.57693  	 00.03578  	 -0.02755  	 -0110188 
002.7  	 00.58561  	 00.03149  	 -0.04292  	 -0171663 
002.8  	 00.58637  	 00.02567  	 -0.05817  	 -0232689 
002.9  	 00.57880  	 00.01838  	 -0.07290  	 -0291612 
003.0  	 00.56271  	 00.00971  	 -0.08671  	 -0346843 
003.1  	 00.53813  	 -0.00021  	 -0.09922  	 -0396892 
003.2  	 00.50525  	 -0.01122  	 -0.11010  	 -0440402 
003.3  	 00.46447  	 -0.02313  	 -0.11904  	 -0476165 
003.4  	 00.41634  	 -0.03571  	 -0.12579  	 -0503148 
003.5  	 00.36148  	 -0.04872  	 -0.13012  	 -0520494 
003.6  	 00.30062  	 -0.06191  	 -0.13188  	 -0527539 
003.7  	 00.23449  	 -0.07500  	 -0.13095  	 -0523810 
003.8  	 00.16385  	 -0.08773  	 -0.12726  	 -0509032 
003.9  	 00.08940  	 -0.09981  	 -0.12078  	 -0483133 
004.0  	 00.01187  	 -0.11096  	 -0.11156  	 -0446243 
004.1  	 -0.06808  	 -0.12093  	 -0.09967  	 -0398699 
004.2  	 -0.14976  	 -0.12946  	 -0.08526  	 -0341043 
004.3  	 -0.23247  	 -0.13631  	 -0.06850  	 -0274019 
004.4  	 -0.31545  	 -0.14127  	 -0.04964  	 -0198569 
004.5  	 -0.39783  	 -0.14417  	 -0.02896  	 -0115823 
004.6  	 -0.47864  	 -0.14484  	 -0.00677  	 -0027083 
004.7  	 -0.55677  	 -0.14319  	 00.01655  	 00066191 
004.8  	 -0.63095  	 -0.13913  	 00.04060  	 00162410 
004.9  	 -0.69976  	 -0.13263  	 00.06497  	 00259877 
005.0  	 -0.76170  	 -0.12371  	 00.08921  	 00356825 
005.1  	 -0.81514  	 -0.11243  	 00.11286  	 00451444 
005.2  	 -0.85849  	 -0.09888  	 00.13548  	 00541924 
005.3  	 -0.89020  	 -0.08322  	 00.15662  	 00626486 
005.4  	 -0.90885  	 -0.06563  	 00.17585  	 00703419 
005.5  	 -0.91325  	 -0.04635  	 00.19278  	 00771112 
005.6  	 -0.90254  	 -0.02565  	 00.20702  	 00828090 
005.7  	 -0.87619  	 -0.00382  	 00.21826  	 00873040 
005.8  	 -0.83413  	 00.01880  	 00.22621  	 00904843 
005.9  	 -0.77672  	 00.04186  	 00.23065  	 00922599 
006.0  	 -0.70481  	 00.06500  	 00.23141  	 00925649 
006.1  	 -0.61968  	 00.08784  	 00.22840  	 00913601 
006.2  	 -0.52300  	 00.11000  	 00.22159  	 00886342 
006.3  	 -0.41681  	 00.13110  	 00.21101  	 00844050 
006.4  	 -0.30334  	 00.15078  	 00.19680  	 00787199 
006.5  	 -0.18502  	 00.16870  	 00.17914  	 00716553 
006.6  	 -0.06427  	 00.18453  	 00.15829  	 00633154 
006.7  	 00.05650  	 00.19798  	 00.13458  	 00538302 
006.8  	 00.17508  	 00.20882  	 00.10838  	 00433526 
006.9  	 00.28947  	 00.21683  	 00.08014  	 00320543 
007.0  	 00.39798  	 00.22187  	 00.05031  	 00201224 
007.1  	 00.49924  	 00.22380  	 00.01939  	 00077540 
007.2  	 00.59220  	 00.22259  	 -0.01212  	 -0048477 
007.3  	 00.67615  	 00.21822  	 -0.04370  	 -0174787 
007.4  	 00.75063  	 00.21074  	 -0.07484  	 -0299377 
007.5  	 00.81544  	 00.20023  	 -0.10508  	 -0420309 
007.6  	 00.87050  	 00.18684  	 -0.13394  	 -0535744 
007.7  	 00.91582  	 00.17074  	 -0.16099  	 -0643975 
