Etat de mer (9s ; 3m); Stratégie: amortissement avec écrêtage. 
Production sur 1000 s, Echantillonnage : 100 ms 
 
t (s) 	 Eta (m) 	 Theta (rad) 	 Omega (rad/s) 	 C (N.m) 
000.0  	 -0.19158  	 00.00000  	 00.00000  	 00000000 
000.1  	 -0.11297  	 00.00099  	 00.00987  	 00039484 
000.2  	 -0.02946  	 00.00277  	 00.01780  	 00071199 
000.3  	 00.05689  	 00.00512  	 00.02358  	 00094310 
000.4  	 00.14385  	 00.00783  	 00.02708  	 00108325 
000.5  	 00.22908  	 00.01066  	 00.02827  	 00113096 
000.6  	 00.31027  	 00.01338  	 00.02720  	 00108808 
000.7  	 00.38530  	 00.01578  	 00.02399  	 00095954 
000.8  	 00.45226  	 00.01766  	 00.01883  	 00075311 
000.9  	 00.50958  	 00.01886  	 00.01197  	 00047899 
001.0  	 00.55609  	 00.01923  	 00.00373  	 00014931 
001.1  	 00.59108  	 00.01868  	 -0.00556  	 -0022231 
001.2  	 00.61424  	 00.01712  	 -0.01553  	 -0062132 
001.3  	 00.62575  	 00.01454  	 -0.02582  	 -0103278 
001.4  	 00.62618  	 00.01094  	 -0.03604  	 -0144179 
001.5  	 00.61646  	 00.00635  	 -0.04585  	 -0183404 
001.6  	 00.59783  	 00.00086  	 -0.05490  	 -0219614 
001.7  	 00.57174  	 -0.00543  	 -0.06290  	 -0251605 
001.8  	 00.53977  	 -0.01239  	 -0.06958  	 -0278334 
001.9  	 00.50358  	 -0.01986  	 -0.07474  	 -0298943 
002.0  	 00.46478  	 -0.02768  	 -0.07819  	 -0312778 
002.1  	 00.42490  	 -0.03566  	 -0.07985  	 -0319396 
002.2  	 00.38534  	 -0.04363  	 -0.07964  	 -0318568 
002.3  	 00.34726  	 -0.05139  	 -0.07757  	 -0310276 
002.4  	 00.31163  	 -0.05875  	 -0.07368  	 -0294704 
002.5  	 00.27915  	 -0.06556  	 -0.06806  	 -0272224 
002.6  	 00.25031  	 -0.07164  	 -0.06084  	 -0243379 
002.7  	 00.22532  	 -0.07686  	 -0.05221  	 -0208859 
002.8  	 00.20422  	 -0.08110  	 -0.04237  	 -0169479 
002.9  	 00.18684  	 -0.08426  	 -0.03154  	 -0126151 
003.0  	 00.17288  	 -0.08625  	 -0.01996  	 -0079857 
003.1  	 00.16190  	 -0.08704  	 -0.00790  	 -0031618 
003.2  	 00.15340  	 -0.08660  	 00.00438  	 00017533 
003.3  	 00.14684  	 -0.08494  	 00.01664  	 00066577 
003.4  	 00.14167  	 -0.08208  	 00.02863  	 00114537 
003.5  	 00.13732  	 -0.07806  	 00.04012  	 00160492 
003.6  	 00.13328  	 -0.07297  	 00.05090  	 00203604 
003.7  	 00.12907  	 -0.06690  	 00.06078  	 00243128 
003.8  	 00.12424  	 -0.05993  	 00.06961  	 00278424 
003.9  	 00.11844  	 -0.05221  	 00.07724  	 00308972 
004.0  	 00.11132  	 -0.04385  	 00.08359  	 00334372 
004.1  	 00.10262  	 -0.03499  	 00.08859  	 00354351 
004.2  	 00.09212  	 -0.02577  	 00.09219  	 00368762 
004.3  	 00.07963  	 -0.01633  	 00.09440  	 00377581 
004.4  	 00.06503  	 -0.00681  	 00.09523  	 00380902 
004.5  	 00.04824  	 00.00266  	 00.09473  	 00378927 
004.6  	 00.02921  	 00.01196  	 00.09299  	 00371961 
004.7  	 00.00798  	 00.02097  	 00.09010  	 00360395 
004.8  	 -0.01538  	 00.02959  	 00.08617  	 00344695 
004.9  	 -0.04074  	 00.03772  	 00.08135  	 00325386 
005.0  	 -0.06788  	 00.04530  	 00.07576  	 00303035 
005.1  	 -0.09651  	 00.05225  	 00.06956  	 00278236 
005.2  	 -0.12627  	 00.05854  	 00.06290  	 00251591 
